X,Y,RCLC1,RCLC2,RCLC3,RCLC4
71.35,97.88,79.06,79.42,79.85,80.27
74.62,98.85,79.81,80.06,80.45,80.85
77.69,102.31,80.16,80.31,80.72,81.13
82.69,112.69,78.86,79.29,79.74,80.17
87.6,132.31,80,80.38,80.78,81.17
90.19,128.65,78.17,78.53,78.9,79.27
92.69,128.27,79.66,80.01,80.37,80.71
90.77,126.35,78.7,79.08,79.48,79.86
89.42,121.35,79.68,80.06,80.44,80.81
90.77,123.08,80.87,81.26,81.64,82
95,119.42,80.21,80.63,81.1,81.54
94.81,117.69,81.5,81.92,82.37,82.82
94.65,115.38,81.87,82.31,82.78,83.25
94.42,110.96,81.49,81.86,82.3,82.75
94.42,107.69,82.09,82.43,82.79,83.19
91.54,104.04,82.11,82.43,82.78,83.18
90.77,102.31,81.24,81.54,81.88,82.25
87.88,101.15,79.8,80.08,80.43,80.8
83.92,98.27,81.7,81.97,82.31,82.65
81.92,95.58,82.93,83.21,83.56,83.89
79.42,89.04,82.2,82.54,82.94,83.34
79.23,92.12,80.68,80.97,81.36,81.77
79.42,94.33,81.25,81.6,81.97,82.38
80.81,95.19,81.91,82.25,82.63,82.96
79.81,94.04,80.61,81.01,81.44,81.81
79.04,94.23,80.53,80.99,81.46,81.83
77.69,86.92,80,80.47,80.96,81.33
77.23,84.23,82.17,82.59,83.02,83.32
75.58,84.42,82.37,82.77,83.17,83.46
75.65,87.31,83.76,84.18,84.57,84.84
76.13,91.04,84.87,85.34,85.78,86.11
76.81,90.38,86.84,87.15,87.65,88.02
78.73,91.54,85.88,86.51,87.17,87.69
81.73,93.46,85.39,86.03,86.75,87.34
82.5,93.08,84.92,85.63,86.52,87.25
82.98,93.46,84.34,85.28,86.41,87.27
83.25,96.15,84.05,85.11,86.16,86.87
83.52,97.31,85.84,86.73,87.71,88.33
84.38,97.88,85.51,86.75,88.07,88.9
85.65,98.46,83.24,84.67,86.22,87.15
88.27,100.77,81.45,83.13,84.62,85.54
94.42,124.04,83.45,83.85,85.25,86.14
95.96,125.58,83.68,85.63,86.75,87.51
104.33,126.35,83.7,85.64,86.85,87.63
104.9,131.35,85.12,87.04,88.3,89.07
108.08,143.65,84.2,86.47,87.95,88.82
108.46,151.35,82.44,85,86.77,87.76
109.23,151.54,83.22,85.67,87.29,88.19
108.46,151.88,85.17,87.25,88.51,89.25
109.04,152.12,86.15,88.36,89.68,90.41
108.65,148.27,82.74,85.76,87.26,88.15
108.73,125.46,79.97,82.99,84.56,85.47
105.27,122.5,77.11,80.18,81.8,82.7
98.27,108.46,75.11,78.51,80.22,81.22
91.15,104.62,76.8,80.52,82.17,83.17
87.88,100,76.37,80.22,82.18,83.27
86.15,107.12,75.65,80.15,82.55,83.74
89.04,115.58,74.4,78.99,81.43,82.7
94.42,139.62,71.61,75.43,77.67,78.98
95.83,148.96,70.08,73.22,75.06,76.17
93.08,151.73,69.41,72.7,74.39,75.48
89.04,150.58,69.87,72.48,73.78,74.7
89.23,142.88,68.01,70.8,71.96,72.79
91.35,138.27,70.04,71.67,72.75,73.55
90.38,120.77,70.21,71.62,72.59,73.33
88.38,113.27,68.75,70.1,71.04,71.76
86.92,108.46,71.51,72.54,73.36,74.02
86.92,106.92,74.55,75.62,76.5,77.18
86.92,106.35,73.97,75.16,76.12,76.88
87.88,106.73,72.58,73.9,74.9,75.71
88.35,109.71,72.86,74.5,75.76,76.67
87.88,110,74.61,76.05,77.11,77.99
87.69,108.65,71.51,72.8,73.77,74.64
87.38,107.79,71.44,72.77,73.85,74.78
86.62,107.4,71.99,73.06,73.98,74.78
86.92,108.27,74.38,75.44,76.33,77.03
88.27,111.15,75.48,76.68,77.6,78.32
90.31,111.73,73.78,75.34,76.51,77.36
91.92,111.92,75.12,76.28,77.16,77.93
92.98,107.77,76.94,77.91,78.71,79.42
94.33,108.37,77.67,78.72,79.6,80.3
94.23,107.46,76.79,78.04,79.12,79.99
93.73,105.38,77.18,78.26,79.18,79.92
92.96,104.81,77.82,78.61,79.48,80.21
85.67,100.96,77.21,77.85,78.66,79.36
83.08,99.42,76.35,77.03,77.65,78.28
82.5,93.27,76.51,77.15,77.66,78.19
80.96,88.85,78.86,79.43,79.9,80.38
78.38,87.88,78.25,78.9,79.48,80.04
75.27,86.15,75.94,76.57,77.1,77.61
71.35,85,75.63,76.16,76.6,77.05
71.44,83.65,72.95,73.46,73.93,74.45
68.69,77.5,72.14,72.6,73.06,73.59
65.35,69.31,71.98,72.51,73.06,73.67
62.08,65.96,74.07,74.64,75.19,75.8
60.77,71.92,75.44,76.03,76.58,77.2
58.67,71.87,76.09,76.63,77.07,77.62
58.6,72.5,74.95,75.44,75.87,76.42
56.54,72.31,77.15,77.59,77.98,78.53
57.96,73.46,77.04,77.45,77.79,78.29
58.81,81.15,76.62,77.01,77.38,77.91
58.65,85.38,76.01,76.38,76.8,77.36
58.5,87.88,76.54,76.9,77.29,77.82
59.46,92.5,77.44,77.58,77.92,78.39
62.88,102.5,76.56,77,77.56,78.09
61.25,97.88,79.3,79.64,80.12,80.57
60,95.96,78.98,79.34,79.83,80.31
60,94.71,78.98,79.37,79.86,80.35
59.81,91.15,77.5,77.9,78.41,78.91
59.35,85,76.99,77.44,78.03,78.59
58.42,83.63,78.36,78.83,79.43,79.99
57.12,80,78.95,79.39,79.95,80.51
57.12,77.69,81.34,81.76,82.3,82.82
56.12,75.38,82.55,82.99,83.53,84.05
49.19,77.42,82.47,82.91,83.46,83.98
48.23,77.69,82.01,82.45,83,83.53
55.58,88.46,80.7,81.18,81.77,82.35
56.73,92.5,81.48,81.95,82.56,83.17
57.04,91.73,80.25,80.71,81.31,81.96
58.08,88.46,78.02,78.49,79.13,79.78
57.69,86.73,75.74,76.15,76.73,77.31
58.85,86.35,75.39,75.77,76.36,76.94
59.69,84.81,75.24,75.6,76.25,76.88
58.15,79.81,75.77,76.16,76.95,77.75
57.92,78.08,75.42,75.78,76.51,77.3
56.35,77.96,74.43,74.77,75.42,76.15
55.48,71.67,73.46,73.82,74.46,75.22
55.02,69.81,73.1,73.73,74.5,75.19
54.31,67.69,71.63,72.36,73.22,73.97
52.19,67.5,72.52,73.24,74.11,74.87
51.12,67.5,73.36,74.22,75.19,76.04
50.85,66.92,75.17,76.21,77.3,78.15
47.21,66.5,71.92,73.54,75.1,76.19
47.27,65.44,73.91,75.36,76.86,77.9
47.5,62.5,75.02,76.24,77.49,78.43
47.46,62.31,74.6,75.97,77.29,78.25
47.42,63.79,74.09,75.85,77.47,78.73
46.08,64.87,74.67,76.37,77.91,79.04
47.1,67.77,74.25,75.79,77.23,78.27
47.23,67.88,76.45,77.37,78.26,79
47.31,67.69,77.19,78.03,78.87,79.65
47.08,67.46,76.8,77.83,78.83,79.74
47.5,67.31,76.02,77.12,78.4,79.43
47.69,67.67,74.57,75.74,77.19,78.33
48.65,67.31,73.66,74.92,76.67,78.08
48.44,66.63,74.86,76.19,77.8,79.09
48.42,65.42,73.52,74.97,76.65,77.99
48.23,65.23,74.71,76.3,77.63,78.56
48.27,65.46,75.18,76.54,77.7,78.57
48.27,66.92,76.49,77.65,78.62,79.41
48.58,67.31,76.52,77.5,78.35,79.07
48.5,66.73,76.18,77.41,78.4,79.17
48.77,67.19,77.86,79.09,80.15,80.97
48.65,67.5,79.97,80.95,81.81,82.58
48.5,67.12,81.58,82.5,83.28,83.95
48,67.4,81.47,82.2,82.88,83.5
