X,Y,RCLC1,RCLC2,RCLC3,RCLC4
34.66,44.04,69.45,71.15,72.4,73.2
34.78,44.81,71.58,73.18,74.27,75.06
36.1,44.54,71.42,73.3,74.69,75.62
37.69,44.85,71.97,73.93,75.37,76.33
39.13,44.73,71.94,73.87,75.21,76.13
39.5,45.21,70.93,72.78,74.08,74.91
40,44.69,70.6,72.61,74.08,75.04
40,44.23,69.45,71.35,72.77,73.73
40.05,44.52,70.16,72.01,73.36,74.24
40.05,44.62,70.52,72.48,73.87,74.75
40.08,44.81,67.51,69.6,71.06,72
39.91,45.19,66.75,68.81,70.24,71.22
39.63,47.62,69.19,71.09,72.3,73.17
39.69,50.19,72.42,73.83,74.79,75.56
39.09,53.46,72.54,72.91,73.77,74.52
38.34,57.69,73.89,74.82,75.48,76.13
37.38,62.31,74.37,75.08,75.75,76.38
35.19,70.42,72.05,72.78,73.51,74.15
33.13,70,71.43,72.19,72.98,73.68
31.72,68.58,72.49,73.14,73.87,74.53
30.78,64.04,72.74,73.46,74.16,74.78
30.77,56.42,68.05,68.72,69.45,70.13
30.53,53.65,68.05,68.68,69.33,69.96
30.5,51.92,67.96,68.55,69.15,69.73
30.69,49.62,68.02,68.55,69.08,69.63
30.67,51.88,71.1,71.59,72,72.45
30.77,53.56,71.31,71.82,72.21,72.62
30.5,57.12,71.94,72.27,72.61,72.97
30.44,57.08,69.29,69.72,70.2,70.68
30.31,60.27,68.86,69.37,69.86,70.37
30.44,57.81,70.93,71.3,71.69,72.14
30.53,54.12,72.51,72.87,73.25,73.65
31.22,54.27,72.47,72.94,73.43,73.93
33.75,55,72.04,72.49,73.04,73.61
35.15,56.69,69.71,69.93,70.41,70.94
38.63,58.65,71.55,71.76,72.22,72.69
40.38,61.08,68.97,69.51,70.06,70.6
40.91,62.5,65.89,66.38,66.93,67.49
40.63,64.42,66.02,66.42,66.9,67.4
40.22,65,66.84,67.17,67.64,68.13
39.44,64.92,66.71,67.08,67.53,68.01
38.47,63.54,70.61,70.94,71.31,71.71
38.36,61.17,70.82,71.2,71.63,72.07
38.5,60.38,69.95,70.33,70.78,71.23
38.97,57.88,70.41,70.61,70.98,71.37
38.84,52.62,70.88,71.14,71.52,71.92
39.06,53.54,69.57,69.88,70.34,70.8
38.64,53.54,71.69,72.14,72.72,73.28
38.33,53.65,71.77,72.25,72.84,73.43
37.75,55.79,73.27,73.74,74.28,74.84
37.59,57.31,74.15,74.71,75.29,75.89
37.77,58.27,75.18,75.6,76.12,76.68
41.56,58.15,77.58,78.08,78.59,79.13
43.25,58.38,78.53,79.02,79.5,80.04
44.68,58.08,79.61,79.96,80.43,80.96
45.23,59.23,79.09,79.12,79.68,80.26
46.94,62.12,81.37,81.96,82.58,83.06
47.94,62.31,81.19,81.84,82.48,82.99
47.86,62.31,80.5,81.19,81.87,82.43
46.97,62.62,78.68,79.37,80.04,80.58
46.78,64.04,79.55,80.15,80.75,81.26
47.19,75.19,77.46,78.06,78.65,79.14
47.09,77.88,79.87,80.4,80.95,81.43
47.09,76.54,77,77.64,78.27,78.79
46.39,75.58,78.13,78.82,79.51,80.12
43.42,67.85,79.6,80.26,80.92,81.54
42.67,64.62,80.4,81.07,81.74,82.36
42.3,64.12,79.62,80.28,80.93,81.55
39,64.04,77.43,78.09,78.75,79.39
35.88,64.81,79.43,80.07,80.72,81.36
37.94,67.5,79.05,79.64,80.27,80.89
44,71.94,79.28,79.92,80.59,81.25
46.39,78.85,76.94,77.65,78.39,79.13
49.13,81.54,76.35,77.03,77.75,78.48
50.41,82.12,78.9,79.53,80.22,80.93
50.22,76.73,79.14,79.72,80.44,81.16
52.5,78.96,79.58,80.1,80.82,81.57
52.56,82.31,77.46,78.05,78.84,79.63
52.55,83.08,76.72,77.47,78.3,79.11
50.75,83.56,77.56,78.5,79.33,80.07
50.34,87.21,76.02,77.19,78.18,78.96
49.45,85.29,77.96,79.19,80.23,81.03
49.14,83.25,76.05,77.36,78.5,79.38
48.75,83,77.28,78.66,79.84,80.74
