,date,open,close,high,low,volume,code
0,2013-01-04,3.96,3.87,3.97,3.82,51240.0,000637
1,2013-01-07,3.83,3.91,3.91,3.83,26889.0,000637
2,2013-01-08,3.9,3.96,3.99,3.85,51701.0,000637
3,2013-01-09,3.95,3.98,4.08,3.92,73384.0,000637
4,2013-01-10,3.96,4.0,4.03,3.94,32575.0,000637
5,2013-01-11,4.01,3.84,4.01,3.82,32931.0,000637
6,2013-01-14,3.82,3.95,3.96,3.82,34685.0,000637
7,2013-01-15,3.95,4.0,4.02,3.94,52030.0,000637
8,2013-01-16,3.99,4.01,4.04,3.9,48630.0,000637
9,2013-01-17,4.0,3.94,4.01,3.9,46872.0,000637
10,2013-01-18,3.95,4.04,4.06,3.95,54560.0,000637
11,2013-01-21,4.03,4.09,4.1,4.01,75040.0,000637
12,2013-01-22,4.1,4.02,4.12,3.97,50234.0,000637
13,2013-01-23,4.0,4.03,4.05,3.94,33662.0,000637
14,2013-01-24,4.04,3.9,4.08,3.84,55996.0,000637
15,2013-01-25,3.88,3.88,3.97,3.85,25884.0,000637
16,2013-01-28,3.86,3.99,4.01,3.86,36758.0,000637
17,2013-01-29,3.98,4.01,4.03,3.98,37846.0,000637
18,2013-01-30,4.01,4.03,4.05,3.96,49109.0,000637
19,2013-01-31,4.18,4.1,4.3,4.09,170663.0,000637
20,2013-02-01,4.07,4.51,4.51,4.06,252528.0,000637
21,2013-02-04,4.64,4.96,4.96,4.51,467807.0,000637
22,2013-02-05,4.7,4.8,4.9,4.68,219068.0,000637
23,2013-02-06,4.73,4.85,4.91,4.68,170187.0,000637
24,2013-02-07,5.34,5.34,5.34,5.11,509761.0,000637
25,2013-02-08,5.19,5.52,5.65,5.08,453684.0,000637
26,2013-02-18,5.38,5.27,5.58,5.23,318124.0,000637
27,2013-02-19,5.25,5.36,5.55,5.25,273113.0,000637
28,2013-02-20,5.28,5.39,5.39,5.15,179069.0,000637
29,2013-02-21,5.3,5.15,5.31,5.13,124921.0,000637
30,2013-02-22,5.15,5.01,5.19,5.01,120863.0,000637
31,2013-02-25,5.12,5.07,5.16,5.0,127451.0,000637
32,2013-02-26,5.03,4.98,5.13,4.93,122006.0,000637
33,2013-02-27,5.01,5.05,5.13,4.96,111782.0,000637
34,2013-02-28,5.07,5.18,5.25,4.95,169773.0,000637
35,2013-03-01,5.14,5.22,5.32,5.09,155309.0,000637
36,2013-03-04,5.2,5.05,5.38,4.96,211227.0,000637
37,2013-03-05,5.0,5.07,5.08,4.8,112070.0,000637
38,2013-03-06,5.12,5.1,5.16,5.02,99852.0,000637
39,2013-03-07,5.07,5.03,5.15,4.96,87783.0,000637
40,2013-03-08,5.04,5.09,5.15,4.97,92097.0,000637
41,2013-03-11,5.05,4.96,5.08,4.96,69525.0,000637
